Price,Close,High,Low,Open,Volume
Ticker,RACE,RACE,RACE,RACE,RACE
Date,,,,,
2016-01-11,40.422908782958984,40.87018811062001,39.23016035453613,40.25517859075359,2307700
2016-01-12,40.68382263183594,41.08451104705689,39.93835705281797,40.954055015061286,1933800
2016-01-13,39.76130294799805,40.609274188813615,39.323343959319836,40.46949785018996,1440600
2016-01-14,39.12766647338867,39.65881096154078,37.80446185832408,39.574945855271466,3631200
2016-01-15,37.29195022583008,37.962870999889915,36.95648983880016,37.711275709617475,1878300
2016-01-19,38.82947540283203,39.416531127647715,37.79514386532307,37.916279583485654,1396800
2016-01-20,37.18013000488281,38.18650757675184,35.7451066450514,38.18650757675184,2620700
2016-01-21,37.7765007019043,38.0840036623144,36.909895956274205,37.53422219524435,1573200
2016-01-22,38.99720001220703,39.13231619044938,38.233097424992295,38.40082760800625,1243900
2016-01-25,37.4969596862793,38.77356983976789,37.02172288845422,38.64311379476826,1388300
2016-01-26,38.62446975708008,39.42584652316433,37.487632618713114,37.53422354716127,967500
2016-01-27,37.841732025146484,38.95993213887785,37.734569684994405,38.494015721044796,1124900
2016-01-28,37.23603820800781,38.111963323767505,36.490572671469835,38.03741499278367,1155000
2016-01-29,37.058998107910156,37.329230525715474,36.294895347306706,36.78876569010484,1480200
2016-02-01,37.20808792114258,37.319906873656656,36.20170668453465,36.26693470305623,1185500
2016-02-02,32.595516204833984,37.27331804619012,31.711205511384875,37.124224916191785,7485100
2016-02-03,34.561683654785156,35.008963036423445,32.940292786018375,34.70146001671111,4631600
2016-02-04,36.22966384887695,36.77944539753475,33.54598412367782,33.77894234675891,1902700
2016-02-05,35.13010025024414,36.09920729755054,34.65020688629097,36.08988697815048,861400
2016-02-08,33.4993896484375,34.60826939339499,32.48369176099711,34.515087535877896,1537800
2016-02-09,31.645044326782227,32.97756565377161,31.30585863103674,32.09232369075161,1653300
2016-02-10,31.002079010009766,32.68869772990521,30.82503205010656,32.642103244182096,1481800
2016-02-11,29.818653106689453,30.26593247673054,29.50182977524446,30.088885503587335,1447600
2016-02-12,31.82208824157715,31.98981841255456,29.977056360825625,30.135469768819696,1950300
2016-02-16,33.21984100341797,33.35961379172244,31.785748947937297,32.260050794692305,1263500
2016-02-17,36.434661865234375,36.64898654208291,33.88144192728522,33.90007901025727,1762400
2016-02-18,36.11784362792969,36.248303227025126,35.446926320170476,36.11784362792969,1327800
2016-02-19,35.884883880615234,36.12716242836903,35.11146441200225,35.316468790153856,507400
2016-02-22,37.21739959716797,37.41308718063584,36.57443626480189,36.732846129648344,1045500
2016-02-23,36.28556823730469,36.75987363871049,36.043293271452306,36.57443768725104,578100
2016-02-24,35.940792083740234,36.015340416615665,34.63622469570147,34.72008979285625,583100
2016-02-25,36.06193542480469,36.14580053144198,35.33510331572799,35.60533572096599,376300
2016-02-26,35.83829116821289,36.2110257364247,35.651923884106985,36.12716063631006,381000
2016-02-29,35.39101028442383,36.08988490351907,35.381693520219685,35.86624701601827,493800
2016-03-01,36.7980842590332,36.7980842590332,35.805679905798826,36.1364801719901,678100
2016-03-02,36.844669342041016,36.88194350673141,36.26693045331981,36.406706793578806,338800
2016-03-03,36.71421813964844,36.92853928276153,36.35080031820228,36.434665422434406,386700
2016-03-04,37.031036376953125,37.20808332612434,36.33309311030443,36.565119985245744,404700
2016-03-07,37.8324089050293,37.97311656278974,36.4439800732972,36.4439800732972,971600
2016-03-08,38.410152435302734,39.174255112215825,38.21446482904131,39.0717529267123,944000
2016-03-09,39.16493225097656,39.47243878752972,38.577880134273435,38.87606635202553,483500
2016-03-10,38.73628616333008,39.234816529912536,38.06536546263602,39.118337439078694,643100
2016-03-11,39.854488372802734,39.99426115681613,39.14629347035905,39.22084179889415,564000
2016-03-14,39.174251556396484,39.89176323513276,39.08572630337694,39.668121800273916,724300
2016-03-15,38.587196350097656,38.95061057565272,38.2983269005913,38.6337872794606,307900
2016-03-16,39.379249572753906,39.677439316391045,38.298323749046006,38.30764406694767,494800
2016-03-17,39.79857635498047,40.06880870869235,39.28606904754545,39.59357556480239,271500
2016-03-18,39.50971603393555,40.124725600333264,39.50971603393555,39.817219039804215,491800
2016-03-21,39.174251556396484,39.60289378899425,39.10902354511683,39.49107484889484,338600
2016-03-22,38.820152282714844,39.136975560390105,38.67105918467118,38.801515201126904,271100
2016-03-23,37.90695571899414,38.82015136731031,37.90695571899414,38.82015136731031,225900
2016-03-24,38.34492492675781,38.39151586042463,37.41309203477984,37.48763681771467,218400
2016-03-28,38.29832458496094,38.66174234320274,37.76718020208579,38.24241689496977,205700
2016-03-29,38.68970489501953,38.717658746305915,37.94423923854395,38.084012049636506,312400
2016-03-30,39.42584991455078,39.60289687974724,39.062432110210224,39.23016231077962,463400
2016-03-31,38.85742950439453,39.00652261417345,38.49401527147468,38.754927324922754,344300
2016-04-01,38.25173568725586,38.372874946428254,37.88832146439871,37.9535494759546,425400
2016-04-04,38.34492492675781,38.86674907128283,38.23310242036498,38.42879002922225,1250100
2016-04-05,37.50627136230469,37.804457583172564,37.31990408559724,37.46899719603117,392100
2016-04-06,38.56855392456055,38.86674009676807,37.37580923573047,37.450354001452574,619200
2016-04-07,37.879005432128906,38.3821924517568,37.62741014498491,38.09332655347525,640500
2016-04-08,38.32628631591797,38.596515142287146,38.0467371703904,38.44742202769509,503600
2016-04-11,38.55924987792969,39.015846049535384,38.284357299192564,38.36356224972365,497100
2016-04-12,38.521968841552734,38.593719655734695,37.972187336699996,38.42878698160892,333500
2016-04-13,39.09038543701172,39.146293128264524,38.7828789164816,39.0810651186963,362700
2016-04-14,39.584259033203125,40.003584526547904,38.876067631401,39.19289094252148,466400
2016-04-15,40.97269058227539,41.000644429622525,40.11540253214183,40.357681058017455,674600
2016-04-18,40.92609786987305,41.17769317087558,40.68382288816336,40.84223632419916,307300
2016-04-19,41.71815490722656,41.81133676541764,41.41064837680792,41.41064837680792,514700
2016-04-20,41.4665641784668,41.7367965734225,41.3361081408083,41.615657300742285,589200
2016-04-21,40.64655303955078,41.55043215535054,40.60462226225813,41.55043215535054,495600
2016-04-22,40.050174713134766,40.58131914327162,39.91040192105989,40.53472821258,378800
